epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1287.9,0.52344,0.27024,0.75397,0.9405,0.75893,0.82201,0.63999,0.44194,0.23706,0.74713,0.008581,0.008581,0.008581
45,1317.17,0.52389,0.27159,0.75317,0.93659,0.77163,0.83468,0.6372,0.44378,0.23873,0.74789,0.008548,0.008548,0.008548
46,1346.38,0.52287,0.27002,0.75372,0.93332,0.7674,0.83354,0.64761,0.43426,0.23719,0.7468,0.008515,0.008515,0.008515
47,1375.5,0.52048,0.27058,0.75256,0.93145,0.77262,0.84262,0.64916,0.43927,0.23787,0.74741,0.008482,0.008482,0.008482
48,1404.73,0.51845,0.26863,0.75254,0.94074,0.77159,0.84673,0.65603,0.43083,0.23306,0.74611,0.008449,0.008449,0.008449
49,1433.94,0.51195,0.26497,0.75313,0.94913,0.78385,0.8546,0.65813,0.43144,0.23206,0.74608,0.008416,0.008416,0.008416
50,1463.13,0.51533,0.26542,0.75211,0.94273,0.77421,0.83943,0.65583,0.42708,0.23013,0.74575,0.008383,0.008383,0.008383
51,1492.38,0.51334,0.26401,0.75216,0.92522,0.77788,0.84156,0.64359,0.43279,0.23183,0.74616,0.00835,0.00835,0.00835
52,1521.54,0.51165,0.26435,0.75271,0.94552,0.77159,0.8393,0.64586,0.42823,0.2284,0.74598,0.008317,0.008317,0.008317
53,1550.71,0.50857,0.2643,0.7517,0.96039,0.76619,0.85077,0.65518,0.43155,0.22921,0.74638,0.008284,0.008284,0.008284
54,1579.92,0.51318,0.26475,0.7514,0.92608,0.77584,0.83474,0.64238,0.42518,0.2275,0.74532,0.008251,0.008251,0.008251
55,1609.08,0.50484,0.26128,0.75183,0.93811,0.78121,0.83261,0.63341,0.42623,0.22675,0.74599,0.008218,0.008218,0.008218
56,1638.22,0.50306,0.25881,0.75209,0.9353,0.78217,0.8451,0.65278,0.42782,0.22647,0.74573,0.008185,0.008185,0.008185
57,1667.6,0.50138,0.25967,0.7508,0.92619,0.76846,0.83778,0.64568,0.42443,0.22453,0.74539,0.008152,0.008152,0.008152
58,1696.82,0.5007,0.25803,0.75084,0.94149,0.77789,0.85085,0.66066,0.4211,0.22275,0.74506,0.008119,0.008119,0.008119
59,1726.02,0.49994,0.25751,0.75139,0.95337,0.76654,0.85118,0.64889,0.42858,0.22631,0.74575,0.008086,0.008086,0.008086
60,1755.2,0.49873,0.2568,0.75071,0.90251,0.78214,0.83912,0.6523,0.4183,0.2232,0.74475,0.008053,0.008053,0.008053
61,1784.4,0.49602,0.25599,0.74977,0.93846,0.76225,0.83434,0.65013,0.42384,0.22233,0.74499,0.00802,0.00802,0.00802
62,1813.59,0.49444,0.25466,0.74952,0.93957,0.77475,0.83526,0.65235,0.41935,0.22166,0.74508,0.007987,0.007987,0.007987
63,1842.92,0.49036,0.25337,0.75072,0.90972,0.78547,0.83918,0.65095,0.4217,0.22305,0.74504,0.007954,0.007954,0.007954
64,1872.11,0.49034,0.25339,0.74916,0.93787,0.7861,0.85369,0.66001,0.41806,0.22016,0.74429,0.007921,0.007921,0.007921
65,1901.29,0.48831,0.25169,0.75007,0.94129,0.77488,0.84157,0.64659,0.41689,0.22003,0.74417,0.007888,0.007888,0.007888
