epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1032,0.92191,0.87249,0.8396,0.86573,0.62788,0.68732,0.47737,0.6906,0.4472,0.80952,0.00331492,0.00331492,0.00331492
2,60.5663,0.9392,0.56293,0.83448,0.80056,0.67591,0.69935,0.39888,0.99095,0.56245,0.84664,0.00662631,0.00662631,0.00662631
3,89.9795,1.00323,0.59884,0.84692,0.82897,0.6671,0.71745,0.46707,0.75597,0.47436,0.82696,0.00991571,0.00991571,0.00991571
4,119.255,0.96599,0.53598,0.84588,0.84866,0.70169,0.73771,0.46873,0.77397,0.43972,0.82322,0.009901,0.009901,0.009901
5,148.522,0.88232,0.46507,0.83224,0.91343,0.73751,0.79238,0.53286,0.66577,0.39261,0.81286,0.009868,0.009868,0.009868
6,177.765,0.82005,0.43503,0.82491,0.8616,0.74755,0.77661,0.52464,0.66494,0.38569,0.80441,0.009835,0.009835,0.009835
7,207.048,0.78086,0.41175,0.81758,0.90194,0.74038,0.79597,0.54879,0.58353,0.35508,0.79915,0.009802,0.009802,0.009802
8,236.317,0.75377,0.39883,0.8163,0.88322,0.74488,0.79605,0.56657,0.56989,0.33893,0.80098,0.009769,0.009769,0.009769
9,265.674,0.73083,0.38478,0.81196,0.89349,0.76256,0.80495,0.53445,0.62152,0.33995,0.80308,0.009736,0.009736,0.009736
10,295.021,0.71326,0.37374,0.8108,0.92054,0.75841,0.80914,0.56962,0.58478,0.32705,0.80201,0.009703,0.009703,0.009703
11,324.325,0.69787,0.36938,0.80812,0.92149,0.77963,0.8185,0.593,0.55247,0.31422,0.79908,0.00967,0.00967,0.00967
12,353.719,0.69268,0.36125,0.80811,0.91094,0.76324,0.81646,0.59157,0.54995,0.31147,0.79505,0.009637,0.009637,0.009637
13,383.034,0.67153,0.35296,0.80576,0.92946,0.75254,0.82835,0.60013,0.53764,0.3073,0.79419,0.009604,0.009604,0.009604
14,412.312,0.66018,0.34745,0.80402,0.92833,0.76173,0.81516,0.59712,0.56141,0.31006,0.79597,0.009571,0.009571,0.009571
15,441.578,0.65189,0.34223,0.80259,0.92515,0.77774,0.82545,0.60886,0.50806,0.2913,0.79347,0.009538,0.009538,0.009538
16,470.9,0.64289,0.33657,0.80079,0.93566,0.76919,0.83684,0.61716,0.50028,0.28383,0.79029,0.009505,0.009505,0.009505
17,500.292,0.63559,0.33555,0.80112,0.92749,0.76682,0.81622,0.58806,0.4997,0.28515,0.79117,0.009472,0.009472,0.009472
18,529.593,0.62403,0.33075,0.79988,0.93196,0.74778,0.82502,0.60333,0.52101,0.29105,0.79169,0.009439,0.009439,0.009439
19,558.933,0.61829,0.32421,0.79809,0.93974,0.77133,0.83377,0.61146,0.5072,0.28409,0.79019,0.009406,0.009406,0.009406
20,588.258,0.61531,0.31987,0.79967,0.9483,0.77013,0.82581,0.60994,0.5162,0.27878,0.79226,0.009373,0.009373,0.009373
21,617.566,0.60773,0.31896,0.79811,0.92949,0.76799,0.83849,0.62801,0.49367,0.27769,0.78977,0.00934,0.00934,0.00934
22,646.948,0.60295,0.31742,0.79795,0.94153,0.76085,0.84553,0.63114,0.4805,0.27059,0.78736,0.009307,0.009307,0.009307
23,676.347,0.60215,0.31439,0.7971,0.9541,0.76958,0.82585,0.61294,0.48632,0.2698,0.78907,0.009274,0.009274,0.009274
24,705.718,0.5959,0.31232,0.79496,0.94491,0.76191,0.83813,0.6137,0.50623,0.27371,0.78915,0.009241,0.009241,0.009241
25,735.057,0.5932,0.3115,0.79557,0.92998,0.76517,0.84291,0.6283,0.4822,0.27057,0.78739,0.009208,0.009208,0.009208
26,764.421,0.5879,0.30578,0.79552,0.94942,0.77141,0.83609,0.62439,0.48937,0.26485,0.78851,0.009175,0.009175,0.009175
27,793.753,0.58483,0.30519,0.7952,0.93693,0.77027,0.83616,0.63104,0.47703,0.26369,0.78708,0.009142,0.009142,0.009142
28,823.022,0.57789,0.29957,0.79501,0.9351,0.78087,0.82007,0.62269,0.47192,0.26064,0.78502,0.009109,0.009109,0.009109
29,852.383,0.57617,0.30001,0.79312,0.93433,0.78205,0.83825,0.63415,0.46346,0.25649,0.78504,0.009076,0.009076,0.009076
30,881.777,0.57487,0.29763,0.79347,0.9488,0.7657,0.83602,0.63665,0.47196,0.25879,0.78607,0.009043,0.009043,0.009043
31,911.2,0.56734,0.29644,0.79327,0.95152,0.77137,0.83198,0.62756,0.47017,0.25704,0.78631,0.00901,0.00901,0.00901
32,940.482,0.56623,0.29349,0.79321,0.95495,0.78124,0.8549,0.64544,0.46706,0.25475,0.78516,0.008977,0.008977,0.008977
33,969.851,0.56164,0.29231,0.79202,0.94821,0.77891,0.83041,0.63231,0.46203,0.25276,0.78515,0.008944,0.008944,0.008944
34,999.154,0.55846,0.28889,0.79262,0.91844,0.77457,0.82869,0.62555,0.47106,0.25361,0.78608,0.008911,0.008911,0.008911
35,1028.5,0.55992,0.28985,0.79194,0.9398,0.76626,0.82384,0.62483,0.45762,0.25222,0.78494,0.008878,0.008878,0.008878
36,1057.8,0.55208,0.287,0.79154,0.93975,0.77156,0.83878,0.63442,0.45633,0.24869,0.78442,0.008845,0.008845,0.008845
37,1087.09,0.55096,0.28687,0.79211,0.93053,0.7857,0.83834,0.63956,0.45599,0.24814,0.78388,0.008812,0.008812,0.008812
38,1116.48,0.55073,0.28402,0.79187,0.92781,0.77889,0.83923,0.63986,0.44979,0.24575,0.78449,0.008779,0.008779,0.008779
39,1145.9,0.54582,0.28251,0.79098,0.90228,0.78434,0.83143,0.63006,0.45237,0.24526,0.78488,0.008746,0.008746,0.008746
40,1175.23,0.54526,0.28256,0.79064,0.92402,0.78238,0.83866,0.63804,0.44417,0.24323,0.78223,0.008713,0.008713,0.008713
41,1204.54,0.54074,0.28051,0.79013,0.95521,0.7769,0.83264,0.62663,0.45819,0.24958,0.78428,0.00868,0.00868,0.00868
42,1233.87,0.537,0.27928,0.79006,0.9111,0.78211,0.83126,0.64067,0.44343,0.24157,0.78279,0.008647,0.008647,0.008647
43,1263.22,0.5404,0.27849,0.79039,0.94666,0.7697,0.85642,0.65533,0.44664,0.24327,0.78328,0.008614,0.008614,0.008614
44,1292.64,0.53231,0.27643,0.78965,0.95938,0.78003,0.84316,0.64416,0.44187,0.23858,0.78234,0.008581,0.008581,0.008581
45,1322.05,0.53192,0.27532,0.78978,0.95183,0.77587,0.85442,0.65196,0.44365,0.24245,0.78258,0.008548,0.008548,0.008548
46,1351.34,0.53121,0.27469,0.78979,0.94305,0.77664,0.84272,0.65149,0.44603,0.24062,0.78279,0.008515,0.008515,0.008515
47,1380.74,0.53012,0.27469,0.78825,0.95197,0.7959,0.85791,0.65837,0.4369,0.23739,0.78164,0.008482,0.008482,0.008482
48,1410.06,0.52693,0.27334,0.78841,0.92696,0.76533,0.81468,0.62604,0.43855,0.23505,0.78189,0.008449,0.008449,0.008449
49,1439.38,0.51977,0.26891,0.78873,0.92564,0.76734,0.82532,0.63715,0.4385,0.23805,0.78166,0.008416,0.008416,0.008416
50,1468.69,0.52108,0.26843,0.78841,0.93618,0.77607,0.84463,0.65661,0.43636,0.23315,0.7821,0.008383,0.008383,0.008383
51,1497.99,0.52218,0.26989,0.78689,0.95424,0.79905,0.86916,0.6745,0.43365,0.23306,0.78089,0.00835,0.00835,0.00835
52,1527.42,0.51924,0.26817,0.78788,0.92774,0.78454,0.83835,0.64612,0.43755,0.23429,0.78157,0.008317,0.008317,0.008317
53,1556.89,0.51727,0.26888,0.78746,0.94325,0.7832,0.84492,0.64963,0.43222,0.2324,0.78029,0.008284,0.008284,0.008284
54,1586.25,0.51876,0.26758,0.78709,0.94241,0.76833,0.85199,0.65958,0.43288,0.23171,0.78126,0.008251,0.008251,0.008251
55,1615.64,0.51144,0.26632,0.787,0.9288,0.76011,0.83916,0.64861,0.43105,0.23064,0.7809,0.008218,0.008218,0.008218
56,1644.95,0.51053,0.26351,0.78684,0.92325,0.78009,0.84074,0.65109,0.42896,0.23064,0.78085,0.008185,0.008185,0.008185
57,1674.31,0.51069,0.26283,0.78704,0.95837,0.76951,0.85796,0.66421,0.42901,0.22854,0.78034,0.008152,0.008152,0.008152
58,1703.69,0.51149,0.26295,0.78709,0.93054,0.78762,0.84677,0.657,0.42787,0.2281,0.78,0.008119,0.008119,0.008119
59,1733.08,0.50733,0.26144,0.78615,0.95225,0.77587,0.84221,0.64694,0.42527,0.2269,0.78064,0.008086,0.008086,0.008086
60,1762.44,0.50571,0.25994,0.7865,0.94364,0.7769,0.84682,0.66035,0.42154,0.22457,0.77949,0.008053,0.008053,0.008053
