epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.321617,0.61857,0.34822,0.76521,1,0.80707,0.90001,0.64329,0.9938,0.59215,0.80349,0,0,0
2,0.46036,0.54759,0.32884,0.785,1,0.80689,0.89917,0.64192,0.99394,0.59475,0.80387,1.6615e-05,1.6615e-05,1.6615e-05
3,0.619447,0.59836,0.34174,0.79195,1,0.80758,0.89955,0.6453,0.9959,0.58993,0.80379,3.312e-05,3.312e-05,3.312e-05
4,0.790052,0.54867,0.32812,0.77617,1,0.80772,0.90033,0.64478,0.99516,0.58878,0.80356,4.95149e-05,4.95149e-05,4.95149e-05
5,0.908599,0.44157,0.31967,0.76337,1,0.80766,0.9002,0.6418,0.99492,0.59395,0.80394,6.57998e-05,6.57998e-05,6.57998e-05
6,1.05838,0.54289,0.33652,0.76456,0.99544,0.78261,0.89452,0.58315,1.06136,0.5739,0.80498,8.19747e-05,8.19747e-05,8.19747e-05
7,1.28595,0.56343,0.33708,0.76772,0.9956,0.78261,0.89536,0.58175,1.06203,0.57522,0.80495,9.80396e-05,9.80396e-05,9.80396e-05
8,1.61399,0.58037,0.35358,0.7697,0.99426,0.78261,0.90595,0.61791,0.98414,0.56231,0.80156,0.000113994,0.000113994,0.000113994
9,1.84012,0.46531,0.32276,0.78592,0.9687,0.80726,0.88667,0.64608,0.89869,0.55259,0.79729,0.000129839,0.000129839,0.000129839
10,2.06645,0.59017,0.35279,0.77099,0.95869,0.80717,0.87612,0.66059,0.92414,0.5569,0.79688,0.000145574,0.000145574,0.000145574
11,2.33953,0.60454,0.34467,0.7696,0.99301,0.8,0.88546,0.61301,0.99672,0.59513,0.79779,0.000161199,0.000161199,0.000161199
12,2.55902,0.58807,0.341,0.77931,0.99945,0.8,0.88059,0.5994,1.05318,0.57456,0.8034,0.000176714,0.000176714,0.000176714
13,2.79533,0.61882,0.33937,0.78478,0.99728,0.8,0.88333,0.62095,1.00169,0.5334,0.80485,0.000192118,0.000192118,0.000192118
14,3.01927,0.68049,0.34695,0.78317,1,0.82771,0.88787,0.65279,0.92577,0.53104,0.80304,0.000207413,0.000207413,0.000207413
15,3.23885,0.49814,0.3334,0.77905,0.98998,0.85956,0.89434,0.66941,0.92355,0.53386,0.80154,0.000222598,0.000222598,0.000222598
16,3.51088,0.50851,0.33188,0.78332,0.96817,0.86087,0.89636,0.65711,0.9468,0.56644,0.80064,0.000237673,0.000237673,0.000237673
17,3.73232,0.54276,0.3405,0.7717,0.92931,0.83478,0.88913,0.59714,1.03248,0.56094,0.80098,0.000252637,0.000252637,0.000252637
18,3.94444,0.61109,0.35679,0.77451,0.92931,0.83478,0.88913,0.59714,1.03248,0.56094,0.80098,0.000267492,0.000267492,0.000267492
19,4.16492,0.53738,0.32309,0.76726,0.96034,0.84229,0.89355,0.6017,1.05892,0.5339,0.80322,0.000282236,0.000282236,0.000282236
20,4.48598,0.56204,0.33757,0.77725,0.96034,0.84229,0.89355,0.6017,1.05892,0.5339,0.80322,0.000296871,0.000296871,0.000296871
21,4.70679,0.55904,0.33908,0.75852,0.97358,0.85217,0.90527,0.64639,1.00222,0.51358,0.802,0.000311396,0.000311396,0.000311396
22,4.91889,0.53412,0.31391,0.78649,0.97358,0.85217,0.90527,0.64639,1.00222,0.51358,0.802,0.00032581,0.00032581,0.00032581
23,5.13588,0.48479,0.32307,0.77279,0.96963,0.86087,0.89463,0.64866,0.97564,0.52605,0.80368,0.000340115,0.000340115,0.000340115
24,5.34778,0.58777,0.31906,0.76645,0.96963,0.86087,0.89463,0.64866,0.97564,0.52605,0.80368,0.000354309,0.000354309,0.000354309
25,5.56713,0.56918,0.32766,0.78024,0.98875,0.82609,0.89595,0.61423,1.02536,0.56606,0.80554,0.000368394,0.000368394,0.000368394
26,5.77664,0.54068,0.34467,0.79515,0.98875,0.82609,0.89595,0.61423,1.02536,0.56606,0.80554,0.000382368,0.000382368,0.000382368
27,5.9975,0.662,0.35626,0.76888,0.99041,0.7913,0.89514,0.58945,1.12282,0.60274,0.80796,0.000396233,0.000396233,0.000396233
28,6.20922,0.62277,0.34609,0.77329,0.99041,0.7913,0.89514,0.58945,1.12282,0.60274,0.80796,0.000409987,0.000409987,0.000409987
29,6.43058,0.58292,0.35048,0.78216,0.94786,0.79036,0.87694,0.60426,1.08902,0.5644,0.8071,0.000423631,0.000423631,0.000423631
30,6.64367,0.52722,0.34468,0.78106,0.94786,0.79036,0.87694,0.60426,1.08902,0.5644,0.8071,0.000437166,0.000437166,0.000437166
31,6.95181,0.52667,0.35289,0.77195,0.94547,0.78261,0.87876,0.65699,0.96831,0.50803,0.80477,0.00045059,0.00045059,0.00045059
32,7.16387,0.55964,0.33115,0.78681,0.94547,0.78261,0.87876,0.65699,0.96831,0.50803,0.80477,0.000463904,0.000463904,0.000463904
33,7.38413,0.58898,0.3453,0.79195,0.96216,0.78261,0.87055,0.65461,0.97456,0.5439,0.80633,0.000477109,0.000477109,0.000477109
34,7.59517,0.8061,0.39064,0.7718,0.96216,0.78261,0.87055,0.65461,0.97456,0.5439,0.80633,0.000490203,0.000490203,0.000490203
35,7.81614,0.63783,0.34765,0.77996,0.96196,0.78261,0.87125,0.65169,0.97675,0.54225,0.80689,0.000503187,0.000503187,0.000503187
36,8.02629,0.64526,0.35183,0.7935,0.96196,0.78261,0.87125,0.65169,0.97675,0.54225,0.80689,0.000516062,0.000516062,0.000516062
37,8.24842,0.65765,0.36786,0.77645,0.96183,0.78261,0.86226,0.61361,1.04592,0.57579,0.80413,0.000528826,0.000528826,0.000528826
38,8.4615,0.59502,0.3646,0.7841,0.96183,0.78261,0.86226,0.61361,1.04592,0.57579,0.80413,0.00054148,0.00054148,0.00054148
39,8.68334,0.58709,0.3562,0.77889,0.97501,0.78261,0.85538,0.56064,1.1114,0.5772,0.80194,0.000554024,0.000554024,0.000554024
40,8.89386,0.61963,0.35303,0.78174,0.97501,0.78261,0.85538,0.56064,1.1114,0.5772,0.80194,0.000566458,0.000566458,0.000566458
41,9.11411,0.56607,0.34708,0.80791,1,0.78199,0.86254,0.56317,1.08382,0.55591,0.80386,0.000578782,0.000578782,0.000578782
42,9.41556,0.68127,0.36762,0.77386,1,0.78199,0.86254,0.56317,1.08382,0.55591,0.80386,0.000590997,0.000590997,0.000590997
43,9.64169,0.57052,0.35172,0.77647,0.98453,0.8,0.89721,0.61794,0.96872,0.54048,0.80051,0.000603101,0.000603101,0.000603101
44,9.86147,0.6272,0.36706,0.77999,0.98453,0.8,0.89721,0.61794,0.96872,0.54048,0.80051,0.000615095,0.000615095,0.000615095
45,10.0875,0.55104,0.35395,0.78136,0.9013,0.87826,0.89391,0.62645,0.97476,0.57265,0.79781,0.000626979,0.000626979,0.000626979
