epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8689,0.90715,1.06189,0.8431,0.88112,0.54668,0.60598,0.42439,0.41983,2.29582,0.45911,0.00331492,0.00331492,0.00331492
2,58.5594,0.92255,0.57423,0.83389,0.77781,0.64208,0.68037,0.42259,0.51562,0.93065,0.47698,0.00662631,0.00662631,0.00662631
3,87.125,1.00974,0.61953,0.85458,0.73473,0.62665,0.68592,0.47056,0.38623,1.88833,0.46435,0.00991571,0.00991571,0.00991571
4,115.419,0.96031,0.53601,0.85559,0.88886,0.69264,0.72277,0.47956,0.41195,0.35946,0.46644,0.009901,0.009901,0.009901
5,143.741,0.85625,0.44606,0.84064,0.89509,0.72501,0.76199,0.4965,0.34338,0.22992,0.45861,0.009868,0.009868,0.009868
6,172.067,0.79915,0.41443,0.83081,0.87193,0.73564,0.74723,0.51617,0.34732,0.51326,0.45345,0.009835,0.009835,0.009835
7,200.258,0.75333,0.39664,0.82106,0.93955,0.74674,0.78574,0.5447,0.32939,0.24686,0.45491,0.009802,0.009802,0.009802
8,228.571,0.73124,0.38667,0.81873,0.93211,0.75619,0.79038,0.54495,0.32938,0.22662,0.4521,0.009769,0.009769,0.009769
9,257.099,0.71033,0.38039,0.81505,0.89426,0.74624,0.79146,0.53363,0.33807,0.22724,0.45442,0.009736,0.009736,0.009736
10,285.285,0.70029,0.37396,0.81196,0.9186,0.75585,0.79847,0.56471,0.30746,0.18076,0.45168,0.009703,0.009703,0.009703
11,313.656,0.68895,0.37061,0.81083,0.8938,0.74073,0.77756,0.55264,0.33738,0.58173,0.45575,0.00967,0.00967,0.00967
12,341.958,0.67503,0.36729,0.80788,0.96285,0.77147,0.81645,0.58074,0.30195,0.22655,0.45008,0.009637,0.009637,0.009637
13,370.368,0.65947,0.35934,0.80619,0.9292,0.76478,0.80967,0.57811,0.31919,0.20225,0.45183,0.009604,0.009604,0.009604
14,398.706,0.65012,0.35463,0.80579,0.93917,0.76105,0.8083,0.58942,0.28882,0.22317,0.44843,0.009571,0.009571,0.009571
15,427.132,0.6518,0.35569,0.80458,0.90721,0.741,0.80485,0.58146,0.29329,0.18223,0.44878,0.009538,0.009538,0.009538
16,455.379,0.63635,0.34334,0.80238,0.96222,0.74921,0.81188,0.5945,0.29162,0.19104,0.44782,0.009505,0.009505,0.009505
17,483.674,0.62936,0.34298,0.80186,0.94538,0.78327,0.82555,0.59864,0.28909,0.25875,0.44905,0.009472,0.009472,0.009472
18,512.053,0.62268,0.33389,0.80088,0.94606,0.76051,0.80824,0.60702,0.27361,0.25559,0.44591,0.009439,0.009439,0.009439
19,540.379,0.61446,0.33154,0.7991,0.94244,0.75518,0.79349,0.58529,0.28475,0.19765,0.4469,0.009406,0.009406,0.009406
20,568.582,0.61075,0.32752,0.80027,0.90897,0.75853,0.79245,0.60117,0.27222,0.16544,0.44578,0.009373,0.009373,0.009373
21,596.982,0.60467,0.32506,0.79839,0.94272,0.77405,0.82659,0.59999,0.28338,0.17979,0.44693,0.00934,0.00934,0.00934
22,625.236,0.60187,0.32265,0.7987,0.94068,0.76425,0.82348,0.61264,0.27184,0.17715,0.44605,0.009307,0.009307,0.009307
23,653.462,0.59314,0.31905,0.79724,0.93803,0.76307,0.80783,0.60484,0.27398,0.19559,0.44495,0.009274,0.009274,0.009274
24,681.733,0.59317,0.31861,0.79605,0.93319,0.76774,0.80864,0.59706,0.26509,0.17666,0.44508,0.009241,0.009241,0.009241
25,710.022,0.58674,0.3156,0.79622,0.92416,0.76299,0.82493,0.60787,0.27239,0.20456,0.44618,0.009208,0.009208,0.009208
26,738.328,0.58224,0.31262,0.79528,0.95458,0.76136,0.80818,0.60391,0.26975,0.15809,0.44548,0.009175,0.009175,0.009175
27,766.728,0.58476,0.31361,0.79582,0.96693,0.7608,0.80915,0.60937,0.26674,0.16643,0.44542,0.009142,0.009142,0.009142
28,794.98,0.57564,0.30853,0.79553,0.94028,0.77743,0.82786,0.61331,0.26018,0.18437,0.44503,0.009109,0.009109,0.009109
29,823.287,0.56912,0.30657,0.79375,0.97606,0.75878,0.82921,0.61573,0.26213,0.1569,0.44434,0.009076,0.009076,0.009076
30,851.617,0.57159,0.30503,0.79441,0.94643,0.76351,0.84187,0.6205,0.27411,0.18474,0.44572,0.009043,0.009043,0.009043
31,879.949,0.56701,0.30317,0.7933,0.95768,0.76559,0.83536,0.61234,0.26319,0.19761,0.44484,0.00901,0.00901,0.00901
32,908.204,0.56096,0.30141,0.79384,0.93265,0.77615,0.81726,0.60857,0.27363,0.15352,0.44622,0.008977,0.008977,0.008977
33,936.601,0.56007,0.29893,0.79306,0.95869,0.75884,0.82519,0.62244,0.2651,0.18544,0.44495,0.008944,0.008944,0.008944
34,964.949,0.54893,0.29308,0.79361,0.93643,0.74829,0.80014,0.60365,0.26216,0.17488,0.44492,0.008911,0.008911,0.008911
35,993.284,0.55614,0.29557,0.79204,0.90073,0.75657,0.79664,0.59804,0.25852,0.14897,0.44437,0.008878,0.008878,0.008878
