epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,628.229,0.69807,0.33406,0.78422,0.99193,0.95737,0.98393,0.8439,0.57727,0.30439,0.78401,0.008581,0.008581,0.008581
45,639.516,0.70032,0.33305,0.78574,0.99017,0.9547,0.98366,0.84382,0.57486,0.30326,0.78233,0.008548,0.008548,0.008548
46,650.857,0.69719,0.33277,0.78507,0.99076,0.95586,0.98426,0.84595,0.56976,0.30199,0.78235,0.008515,0.008515,0.008515
47,662.172,0.69842,0.33123,0.78479,0.99261,0.95714,0.98462,0.848,0.56627,0.298,0.7824,0.008482,0.008482,0.008482
48,673.507,0.69203,0.3306,0.78469,0.9902,0.95858,0.98493,0.84852,0.56415,0.29698,0.78194,0.008449,0.008449,0.008449
49,684.722,0.68186,0.32768,0.78479,0.99278,0.95719,0.98438,0.84933,0.55973,0.29614,0.78105,0.008416,0.008416,0.008416
50,695.984,0.68614,0.32807,0.78484,0.99358,0.95374,0.98453,0.84528,0.56718,0.29394,0.78218,0.008383,0.008383,0.008383
51,707.245,0.68354,0.32762,0.78236,0.99242,0.95649,0.98448,0.84814,0.56251,0.29183,0.78189,0.00835,0.00835,0.00835
52,718.536,0.68276,0.32617,0.78376,0.9923,0.95768,0.9852,0.84995,0.56635,0.29722,0.78161,0.008317,0.008317,0.008317
53,729.919,0.68573,0.32671,0.78285,0.99481,0.95616,0.98523,0.85209,0.55519,0.29209,0.78093,0.008284,0.008284,0.008284
54,741.229,0.68402,0.32437,0.78331,0.99281,0.95846,0.98523,0.8512,0.55299,0.28975,0.78034,0.008251,0.008251,0.008251
55,752.431,0.67661,0.32457,0.7825,0.99361,0.95765,0.98529,0.85237,0.55874,0.29507,0.78103,0.008218,0.008218,0.008218
56,763.687,0.6674,0.32232,0.78256,0.99149,0.95508,0.98467,0.84757,0.56419,0.29184,0.78228,0.008185,0.008185,0.008185
57,774.927,0.66824,0.32078,0.78267,0.99379,0.95718,0.98527,0.85645,0.54498,0.28839,0.77884,0.008152,0.008152,0.008152
58,786.241,0.66794,0.31986,0.78201,0.99132,0.95813,0.98514,0.85368,0.54906,0.28793,0.77965,0.008119,0.008119,0.008119
