max_age,n_init,max_iou_distance,recall
2,25,0.8,0.007082152974504249
2,25,0.9,0.007082152974504249
2,35,0.8,0.0
2,35,0.9,0.0
2,45,0.8,0.0
2,45,0.9,0.0
3,25,0.8,0.007790368271954674
3,25,0.9,0.007790368271954674
3,35,0.8,0.0
3,35,0.9,0.0
3,45,0.8,0.0
3,45,0.9,0.0
5,25,0.8,0.009206798866855524
5,25,0.9,0.009206798866855524
5,35,0.8,0.0
5,35,0.9,0.0
5,45,0.8,0.0
5,45,0.9,0.0
